ALV,ANDORRA,ANDORRA LA VELLA H/P
ALW,UNITED STATES,WALLA WALLA
ALX,UNITED STATES,THOMAS C RUSSELL FLD
ALY,EGYPT,EL NOHZA
ALZ,UNITED STATES,ALITAK SPB
AMA,UNITED STATES,RICK HUSBAND AMARILLO INTERNATIONAL
AMB,MADAGASCAR,AMBILOBE
AMC,CHAD,AM TIMAN
AMD,INDIA,AHMEDABAD
AME,MOZAMBIQUE,ALTO MOLOCUE
AMF,PAPUA NEW GUINEA,AMA
AMG,PAPUA NEW GUINEA,AMBOIN
AMH,ETHIOPIA,ARBA MINTCH
AMI,INDONESIA,SELAPARANG
AMJ,BRAZIL,ALMENARA
AMK,UNITED STATES,ANIMAS AIRPARK
AML,PANAMA,PUERTO ARMUELLAS
AMM,JORDAN,QUEEN ALIA INTL
AMN,UNITED STATES,GRATIOT COMMUNITY
AMO,CHAD,MAO
AMP,MADAGASCAR,AMPANIHY
AMQ,INDONESIA,PATTIMURA
AMR,MARSHALL ISLANDS,ARNO
AMS,NETHERLANDS,AMSTERDAM-SCHIPHOL
AMT,AUSTRALIA,AMATA
AMU,PAPUA NEW GUINEA,AMANAB
AMV,RUSSIAN FEDERATION,AMDERMA
AMW,UNITED STATES,AMES
AMX,AUSTRALIA,AMMAROO
AMY,MADAGASCAR,AMBATOMAINTY
AMZ,NEW ZEALAND,ARDMORE
ANA,UNITED STATES,ORANGE COUNTY STEEL SALVAGE HELIPORT
ANB,UNITED STATES,ANNISTON METROPOLITAN
ANC,UNITED STATES,TED STEVENS ANCHORAGE INTERNATIONAL AIRP
AND,UNITED STATES,ANDERSON
ANE,FRANCE,MARCE
ANF,CHILE,CERRO MORENO
ANG,FRANCE,BRIE-CHAMPNIERS
ANH,SOLOMON ISLANDS,ANUHA ISLAND RESORT
ANI,UNITED STATES,ANIAK
ANJ,CONGO,ZANAGA
ANK,TURKEY,ETIMESGUT
ANL,ANGOLA,ANDULO
ANM,MADAGASCAR,ANTSIRABATO
ANN,UNITED STATES,ANNETTE ISLAND
ANO,MOZAMBIQUE,ANGOCHE
ANP,UNITED STATES,LEE
ANQ,UNITED STATES,TRI-STATE STEUBEN CTY
ANR,BELGIUM,DEURNE
ANS,PERU,ANDAHUAYLAS
ANT,AUSTRIA,ST ANTON
ANU,ANTIGUA AND BARBUDA,V. C. BIRD INTL
ANV,UNITED STATES,ANVIK
ANW,UNITED STATES,AINSWORTH
ANX,NORWAY,ANDENES
ANY,UNITED STATES,ANTHONY
ANZ,AUSTRALIA,ANGUS DOWNS
AOA,PAPUA NEW GUINEA,AROA
AOB,PAPUA NEW GUINEA,ANNANBERG
AOC,GERMANY,ALTENBURG NOBITZ
AOD,CHAD,ABOU DEIA
AOE,TURKEY,ANADOLU UNIVERSITY
AOG,CHINA,ANSHAN
AOH,UNITED STATES,ALLEN COUNTY
AOI,ITALY,FALCONARA
AOJ,JAPAN,AOMORI
AOK,GREECE,KARPATHOS
AOL,ARGENTINA,PASO DE LOS LIBRES
AON,PAPUA NEW GUINEA,ARONA
AOO,UNITED STATES,MARTINSBURG
AOR,MALAYSIA,ALOR SETAR
AOS,UNITED STATES,AMOOK
AOT,ITALY,CORRADO GEX
AOU,LAOS,ATTOPEU
APA,UNITED STATES,ARAPAHOE CO
APB,BOLIVIA,APOLO
APC,UNITED STATES,NAPA COUNTY
APE,PERU,SAN JUAN APOSENTO
APF,UNITED STATES,NAPLES
APG,UNITED STATES,PHILLIPS AAF
APH,UNITED STATES,CAMP A P HILL
API,COLOMBIA,APIAY
APK,FRENCH POLYNESIA,APATAKI
APL,MOZAMBIQUE,NAMPULA
APN,UNITED STATES,ALPENA COUNTY REGIONAL
APO,COLOMBIA,APARTADO
APP,PAPUA NEW GUINEA,ASAPA
APQ,BRAZIL,ARAPIRACA
APR,PAPUA NEW GUINEA,APRIL RIVER
APS,BRAZIL,ANAPOLIS
APT,UNITED STATES,MARION COUNTY
APU,BRAZIL,APUCARANA
APV,UNITED STATES,APPLE VALLEY
APW,SAMOA,FALEOLO
APX,BRAZIL,ARAPONGAS
APY,BRAZIL,ALTO PARNAIBA
APZ,ARGENTINA,ZAPALA
AQA,BRAZIL,ARARAQUARA
AQB,GUATEMALA,QUICHE AIRPORT
AQG,CHINA,ANQING
AQI,SAUDI ARABIA,QAISUMAH
AQJ,JORDAN,KING HUSSEIN INTL
AQM,BRAZIL,ARIQUEMES
AQP,PERU,RODRIGUEZ BALLON
AQS,FIJI,SAQANI
AQY,UNITED STATES,ALYESKA
ARA,UNITED STATES,ACADIANA REGIONAL
ARB,UNITED STATES,MUNICIPAL
ARC,UNITED STATES,ARCTIC VILLAGE
ARD,INDONESIA,ALOR ISLAND
ARE,PUERTO RICO,ARECIBO
ARF,COLOMBIA,ACARICUARA
ARG,UNITED STATES,WALNUT RIDGE
ARH,RUSSIAN FEDERATION,ARKHANGELSK
ARI,CHILE,CHACALLUTA
ARJ,INDONESIA,ARSO
ARK,TANZANIA,ARUSHA
ARL,BURKINA FASO,ARLY
ARM,AUSTRALIA,ARMIDALE
ARN,SWEDEN,ARLANDA
ARO,COLOMBIA,ARBOLETAS
ARP,PAPUA NEW GUINEA,ARAGIP
ARQ,COLOMBIA,ARAUQUITA
ARR,ARGENTINA,ALTO RIO SENGUERR
ARS,BRAZIL,ARAGARCAS
ART,UNITED STATES,WATERTOWN
ARU,BRAZIL,ARACATUBA
ARV,UNITED STATES,NOBLE F. LEE
ARW,ROMANIA,ARAD
ARX,UNITED STATES,ASBURY PARK
ARY,AUSTRALIA,ARARAT
ASA,ERITREA,ASSAB INTERNATIONAL
ASB,TURKMENISTAN,ASHGABAT
ASC,BOLIVIA,ASCENSION
ASD,BAHAMAS,ANDROS TOWN
ASE,UNITED STATES,ASPEN
ASF,RUSSIAN FEDERATION,ASTRAKHAN
ASG,NEW ZEALAND (AOTEAROA),ASHBURTON
ASH,UNITED STATES,BOIRE FIELD
ASI,ST. HELENA,WIDEAWAKE FIELD
ASJ,JAPAN,AMAMI O SHIMA
ASK,COTE D'IVOIRE (IVORY COAST),YAMOUSSOUKRO
ASL,UNITED STATES,HARRISON COUNTY
ASM,ERITREA,YOHANNES IV
ASN,UNITED STATES,TALLADEGA
ASO,ETHIOPIA,ASOSA
ASP,AUSTRALIA,ALICE SPRINGS
ASQ,UNITED STATES,AUSTIN
ASR,TURKEY,ERKILET INTERNATIONAL AIRPORT
AST,UNITED STATES,ASTORIA
ASU,PARAGUAY,SILVIO PETTIROSSI
ASV,KENYA,AMBOSELI
ASW,EGYPT,ASWAN
ASX,UNITED STATES,ASHLAND
ASY,UNITED STATES,ASHLEY
ASZ,PAPUA NEW GUINEA,ASIRIM
ATA,PERU,ANTA
ATB,SUDAN,ATBARA
ATD,SOLOMON ISLANDS,ATOIFI
ATE,UNITED STATES,ANTLERS
ATF,ECUADOR,CHACHOAN
ATG,PAKISTAN,ATTOCK
ATH,GREECE,ELEFTHERIOS VENIZELOS
ATI,URUGUAY,ARTIGAS
ATJ,MADAGASCAR,ANTSIRABE
ATK,UNITED STATES,ATQASUK
ATL,UNITED STATES,HARTSFIELD-JACKSON ATLANTA INTERNATIONAL
ATM,BRAZIL,ALTAMIRA
ATN,PAPUA NEW GUINEA,NAMATANAI
ATO,UNITED STATES,OHIO UNIVERSITY
ATP,PAPUA NEW GUINEA,AIRSTRIP
ATQ,INDIA,RAJA SANSI
ATR,MAURITANIA,MOUAKCHOTT
ATS,UNITED STATES,ARTESIA
ATT,UNITED STATES,ATMAUTLUAK
ATU,UNITED STATES,CASCO COVE
ATV,CHAD,ATI
ATW,UNITED STATES,OUTAGAMIE COUNTY
ATX,KAZAKHSTAN,ATBASAR
ATY,UNITED STATES,WATERTOWN
ATZ,EGYPT,ASSIUT
AUA,ARUBA,REINA BEATRIX
AUB,BRAZIL,ITAUBA
AUC,COLOMBIA,ARAUCA
AUD,AUSTRALIA,AUGUSTUS DOWNS
AUE,EGYPT,ABU RUDEIS
AUF,FRANCE,AUXERRE BRANCHES
AUG,UNITED STATES,AUGUSTA
AUH,UNITED ARAB EMIRATES,ABU DHABI INTERNATIONAL
AUI,PAPUA NEW GUINEA,AUA ISLAND
AUJ,PAPUA NEW GUINEA,AMBUNTI
AUK,UNITED STATES,ALAKANUK
AUL,MARSHALL ISLANDS,AUR ISLAND
AUM,UNITED STATES,AUSTIN
AUN,UNITED STATES,AUBURN
AUO,UNITED STATES,AUBURN-OPELIKA
AUP,PAPUA NEW GUINEA,AGAUN
AUQ,FRENCH POLYNESIA,ATUONA
AUR,FRANCE,AURILLAC
AUS,UNITED STATES,AUSTIN-BERGSTROM INTERNATIONAL
AUT,INDONESIA,ATAURO
AUU,AUSTRALIA,AURUKUN MISSION
AUV,PAPUA NEW GUINEA,AUMO
AUW,UNITED STATES,MUNICIPAL
AUX,BRAZIL,ARAGUAINA
AUY,VANUATU,ANEITYUM
AUZ,UNITED STATES,MUNICIPAL AIRPORT
AVA,CHINA,AN SHUN/HUANG GUO SHU
AVB,ITALY,AVIANO
AVF,FRANCE,AVORIAZ
AVG,AUSTRALIA,AUVERGNE
AVI,CUBA,CIEGO DE AVILA
AVK,MONGOLIA,ARVAIKHEER
AVL,UNITED STATES,ASHEVILLE REGIONAL AIRPORT
AVN,FRANCE,AVIGNON-CAUMONT
AVO,UNITED STATES,MUNICIPAL
AVP,UNITED STATES,WILKES-BARRE/SCRANTON INTERNATIONAL AIRP
AVU,SOLOMON ISLANDS,AVU AVU
AVV,AUSTRALIA,AVALON
AVW,UNITED STATES,AVRA VALLEY
AVX,UNITED STATES,AVALON BAY
AWA,ETHIOPIA,AWASSA
AWB,PAPUA NEW GUINEA,AWABA
AWD,VANUATU,ANIWA
AWE,GABON,ALOWE
AWH,ETHIOPIA,AWAREH
AWK,US MINOR OUTLYING ISLANDS,WAKE ISLAND
AWM,UNITED STATES,MUNICIPAL
AWN,AUSTRALIA,ALTON DOWNS
AWP,AUSTRALIA,AUSTRAL DOWNS
AWR,PAPUA NEW GUINEA,AWAR
AWZ,IRAN,AHWAZ
AXA,ANGUILLA,WALLBLAKE
AXB,UNITED STATES,ALEXANDRIA BAY
AXC,AUSTRALIA,ARAMAC
AXD,GREECE,DIMOKRITOS
AXE,BRAZIL,XANXERE
AXG,UNITED STATES,ALGONA
AXK,YEMEN,ATAQ
AXL,AUSTRALIA,ALEXANDRIA
AXM,COLOMBIA,EL EDEN
AXN,UNITED STATES,ALEXANDRIA
AXP,BAHAMAS,SPRINGPOINT ARPT
AXR,FRENCH POLYNESIA,ARUTUA
AXS,UNITED STATES,MUNICIPAL
AXT,JAPAN,AKITA
AXU,ETHIOPIA,AXUM
AXV,UNITED STATES,NEIL ARMSTRONG
AXX,UNITED STATES,ANGEL FIRE
AYA,COLOMBIA,AYAPEL
AYC,COLOMBIA,AYACUCHO
AYD,AUSTRALIA,ALROY DOWNS
AYE,UNITED STATES,AAF HELIPORT
AYG,COLOMBIA,YAGUARA
AYH,UNITED KINGDOM,RAF STATION
AYI,COLOMBIA,YARI
AYK,KAZAKHSTAN,ARKALYK
AYL,AUSTRALIA,ANTHONY LAGOON
AYN,CHINA,ANYANG
AYO,PARAGUAY,AYOLAS
AYP,PERU,YANAMILLA
AYQ,AUSTRALIA,CONNELLAN
AYR,AUSTRALIA,AYR
AYS,UNITED STATES,WARE COUNTY
AYT,TURKEY,ANTALYA
AYU,PAPUA NEW GUINEA,AIYURA
AYW,INDONESIA,AYAWASI
AYZ,UNITED STATES,ZAHNS
AZB,PAPUA NEW GUINEA,AMAZON BAY
AZD,IRAN,YAZD
AZG,MEXICO,APATZINGAN
AZI,UNITED ARAB EMIRATES,BATEEN
AZN,UZBEKISTAN,ANDIZHAN
AZO,UNITED STATES,KALAMAZOO/BATTLE CREEK INTL
AZP,MEXICO,ATIZAPAN
AZR,ALGERIA,ADRAR
AZS,DOMINICAN REPUBLIC,SAMANA EL CATEY INTERNATIONAL
AZT,COLOMBIA,ZAPATOCA
AZZ,ANGOLA,AMBRIZ
BAA,PAPUA NEW GUINEA,BIALLA
BAB,UNITED STATES,BEALE AFB
BAC,COLOMBIA,BARRANCA DE UPIA
BAD,UNITED STATES,BARKSDALE AFB
BAE,FRANCE,BARCELONNETTE
BAF,UNITED STATES,BARNES
BAG,PHILIPPINES,LOAKAN
BAH,BAHRAIN,BAHRAIN INTERNATIONAL
BAI,COSTA RICA,BUENOS AIRES
BAJ,PAPUA NEW GUINEA,BALI
BAL,TURKEY,BATMAN
BAM,UNITED STATES,LANDER COUNTY
BAN,ZAIRE,BASONGO
BAO,THAILAND,UDORN
BAP,PAPUA NEW GUINEA,BAIBARA
BAQ,COLOMBIA,E CORTISSOZ
BAR,UNITED STATES,BAKER AAF
BAS,SOLOMON ISLANDS,BALALAE
BAT,BRAZIL,AIRPORT CHAFEI AMSEI
BAU,BRAZIL,BAURU
BAV,CHINA,BAOTOU
BAW,GABON,BIAWONQUE
BAX,RUSSIAN FEDERATION,BARNAUL
BAY,ROMANIA,BAIA MARE
BAZ,BRAZIL,BARBELOS
BBA,CHILE,TENIENTE VIDAL
BBB,UNITED STATES,MUNICIPAL
BBC,UNITED STATES,BAY CITY
BBD,UNITED STATES,CURTIS FIELD
BBE,AUSTRALIA,BIG BELL
BBF,UNITED STATES,BURLINGTON
BBG,KIRIBATI,BUTARITARI
BBH,GERMANY,BARTH
BBI,INDIA,BHUBANESWAR
BBJ,GERMANY,BITBURG AIR BASE
BBK,BOTSWANA,KASANE
BBL,IRAN,BABOLSAR
BBM,CAMBODIA,BATTAMBANG
BBN,MALAYSIA,BARIO
BBO,SOMALIA,BERBERA
BBP,UNITED KINGDOM,BEMBRIDGE
BBQ,ANTIGUA AND BARBUDA,BARBUDA
BBR,GUADELOUPE,BAILLIF
BBS,UNITED KINGDOM,BLACKBUSHE
BBT,CENTRAL AFRICAN REPUBLIC,BERBERATI
BBU,ROMANIA,BANEASA
BBV,COTE D'IVOIRE (IVORY COAST),HKG
BBW,UNITED STATES,BROKEN BOW
BBX,UNITED STATES,WINGS FIELD
BBY,CENTRAL AFRICAN REPUBLIC,BAMBARI
BBZ,ZAMBIA,ZAMBEZI
BCB,UNITED STATES,VIRGINIA TECH
BCC,UNITED STATES,BEAR CREEK
BCD,PHILIPPINES,BACOLOD
BCE,UNITED STATES,BRYCE
BCF,CENTRAL AFRICAN REPUBLIC,BOUCA
BCG,GUYANA,BEMICHI
BCH,EAST TIMOR-INDONESIA,CAKUNG INTERNATIONAL
BCI,AUSTRALIA,BARCALDINE
BCJ,UNITED STATES,BACA GRANDE
BCK,AUSTRALIA,BOLWARRA
BCL,COSTA RICA,BARRA COLORADO
BCM,ROMANIA,BACAU
BCN,SPAIN,EL PRAT DE LLOBREGAT
BCO,ETHIOPIA,JINKA
BCP,PAPUA NEW GUINEA,BAMBU
BCQ,LIBYA,BRACK
BCR,BRAZIL,BOCA DO ACRE
BCS,UNITED STATES,SOUTHERN SEAPLANE
BCT,UNITED STATES,PUBLIC
BCU,NIGERIA,BAUCHI
BCV,BELIZE,BELMOPAN
BCW,MOZAMBIQUE,BENGUERA ISLAND
BCX,RUSSIAN FEDERATION,BELORECK
BCY,ETHIOPIA,BULCHI
BCZ,AUSTRALIA,BICKERTON ISLAND
BDA,BERMUDA,KINDLEY FIELD
BDB,AUSTRALIA,BUNDABERG
BDC,BRAZIL,BARRA DO CORDA
BDD,AUSTRALIA,BADU ISLAND
BDE,UNITED STATES,BAUDETTE
BDF,UNITED STATES,RINKENBERGER
BDG,UNITED STATES,BLANDING
BDH,IRAN,BANDAR LENGEH
BDI,SEYCHELLES,BIRD ISLAND
BDJ,INDONESIA,SJAMSUDIN NOOR
BDK,COTE D'IVOIRE (IVORY COAST),BONDOUKOU
BDL,UNITED STATES,BRADLEY INTERNATIONAL
BDM,TURKEY,BANDIRMA
BDN,PAKISTAN,TALHAR
BDO,INDONESIA,HUSEIN SASTRANEGARA
BDP,NEPAL,BHADRAPUR
BDQ,INDIA,VADODARA
BDR,UNITED STATES,IGOR I. SIKORSKY MEM.
BDS,ITALY,PAPOLA CASALE
BDT,DEMOCRATIC REPUBLIC OF CONGO (,GBADOLITE
BDU,NORWAY,BARDUFOSS
BDV,ZAIRE,MOBA
BDW,AUSTRALIA,BEDFORD DOWNS
BDX,UNITED STATES,BROADUS
BDY,UNITED STATES,STATE
BDZ,PAPUA NEW GUINEA,BAINDOUNG
BEA,PAPUA NEW GUINEA,BEREINA
BEB,UNITED KINGDOM,BENBECULA
BEC,UNITED STATES,BEECH
BED,UNITED STATES,HANSCOM FIELD
BEE,AUSTRALIA,BEAGLE BAY
BEF,NICARAGUA,BLUEFIELDS
BEG,SERBIA,NIKOLA TESLA
BEH,UNITED STATES,ROSS FIELD
BEI,ETHIOPIA,BEICA
BEJ,INDONESIA,KALIMARU
BEK,INDIA,BARELI
BEL,BRAZIL,VAL DE CANS
BEM,CENTRAL AFRICAN REPUBLIC,BOSSEMBELE
BEN,LIBYA,BENINA INTL
